GameCount,Winner,TotalTurns,EndDay,EndWave,P1_AcquiredItems,P2_AcquiredItems,P1_UsedItems,P2_UsedItems,P1_EndInventory,P2_EndInventory,P1_Upgrades,P2_Upgrades
11,1,22,4,3,"1005;1001;1005;1005;1000;1000;2001;4004;1002;1007;2001;2000","1002;1001;4008;1006;4008;1000;1000;1000;2000;1000","1000;1000;1005;1005;2000","1002;1001;1006;1000;1000;1000;2000;1000","1001;1005;2001;4004;1002;1007;2001","4008;4008","D1_Mine;D1_Barrier;D2_Mine;D2_Forge;D2_Forge;D2_Farm;D3_Mine;D3_Barrier;D3_Barrier","D1_Mine;D1_Barrier;D2_Forge;D2_Forge;D2_Barrier;D2_Farm;D3_Mine;D3_Farm"
12,1,23,4,3,"4003;1005;1001;2001;1002;1002;4004;2000;1000;1000;1005;1000","2000;2001;2003;3000;1000;2000;4004;2000;1004;1001;1007;1001","4003;2001;1005;1002;2000;1000;1000;1005;1000","2000;2001;2000;4004;2000;3000;1000","1001;1002;4004","2003;1004;1001;1007;1001","D1_Mine;D1_Barrier;D2_Forge;D2_Mine;D2_Forge;D2_Farm;D3_Mine;D3_Barrier;D3_Barrier","D1_Mine;D1_Barrier;D2_Forge;D2_Mine;D2_Barrier;D2_Farm;D3_Mine;D3_Barrier;D3_Forge"
13,1,31,6,1,"4003;1006;1000;4005;2002;1000;1004;2000;1001;2000;1001;3002;1004;1004;2000;3000","2000;1002;1007;4004;2002;1003;1001;1003;2000;4007;1003;2001;1003;1004;2000","4003;1000;1006;1000;2000;2002;2000;4005;3002;1004;1004;2000;3000","2000;1002;4004;2002;1003;2000;1007;2001;4007;1003;1003;2000","1001;1001;1004","1001;1003;1004","D1_Mine;D1_Barrier;D2_Forge;D2_Mine;D2_Forge;D2_Farm;D3_Mine;D3_Barrier;D3_Barrier;D4_Barrier;D5_Mine","D1_Mine;D1_Barrier;D2_Forge;D2_Mine;D2_Forge;D2_Farm;D3_Mine;D3_Farm;D3_Barrier;D4_Mine;D4_Barrier;D4_Farm;D5_Barrier"
14,1,26,5,2,"1000;4003;1000;4008;1005;1000;2000;2000;3002;4005;2000;4008;4005;1000","2001;4007;1006;4007;1000;3000;2000;2002;4003;3002;4003;4003","1000;4003;1000;1000;1005;2000;2000;4008;2000;4008;3002","2001;1006;1000;2000;2002;3002;4003;4007","4005;4005;1000","4007;3000;4003;4003","D1_Mine;D1_Barrier;D2_Mine;D2_Forge;D2_Barrier;D2_Farm;D3_Barrier;D3_Forge;D3_Mine;D4_Barrier;D4_Forge;D4_Farm","D1_Mine;D1_Barrier;D2_Mine;D2_Forge;D2_Forge;D2_Farm;D3_Mine;D3_Barrier;D3_Farm;D4_Mine;D4_Barrier;D4_Farm"
15,1,24,5,1,"1000;4004;1005;4004;4007;4003;1005;2000;4007;4004;1006;2001;1003","1000;1000;1002;1005;1004;4005;1007;4003;4005;4003;4003;4003","1000;1005;2000;4004;4003","1000;1000;1002;1005;4003;1004;4003","4004;4007;1005;4007;4004;1006;2001;1003","4005;1007;4005;4003;4003","D1_Mine;D1_Barrier;D2_Mine;D2_Forge;D2_Barrier;D2_Farm;D3_Barrier;D3_Mine;D3_Forge;D4_Mine;D4_Farm;D4_Farm","D1_Mine;D1_Barrier;D2_Mine;D2_Farm;D2_Forge;D2_Barrier;D3_Mine;D3_Barrier;D3_Forge;D4_Mine"
16,1,24,5,1,"1005;1005;4008;1005;4005;1003;2000;4005;2002;2000;4008;4007;4005","1004;2000;4003;1000;2001;1003;2001;1002;2000;1000;4004;1000","1005;2000;2000;1005;2002;1005","1004;1000;4003;2001;1002;2000;2000;1000;2001;1000;1003","4008;4005;1003;4005;4008;4007;4005","4004","D1_Mine;D1_Barrier;D2_Mine;D2_Forge;D2_Forge;D2_Farm;D3_Mine;D3_Barrier;D3_Farm;D4_Mine;D4_Barrier;D4_Forge","D1_Mine;D1_Forge;D2_Mine;D2_Forge;D2_Barrier;D2_Farm;D3_Mine;D3_Barrier;D3_Farm;D4_Mine;D4_Barrier;D4_Forge"
17,-1,36,6,0,"2003;4004;1000;2003;4004;1006;1006;1006;1002;4004","4008;2001;2002;2001;2001;1002;1002;1001;1001;2001","1000;1006;1006;1006;1002;4004","2001;2001;1002","2003;2003;4004;4004","4008;2002;2001;1002;1001;1001;2001","D1_Mine;D1_Barrier;D2_Forge;D2_Mine;D2_Barrier;D2_Farm;D3_Mine;D3_Barrier;D3_Forge","D1_Mine;D1_Barrier;D2_Mine;D2_Forge;D2_Forge;D2_Farm;D3_Mine;D3_Barrier;D3_Barrier"
18,-1,30,5,0,"","","","","","","",""
19,-1,30,5,0,"","","","","","","",""
20,-1,30,5,0,"","","","","","","",""
21,-1,30,5,0,"","","","","","","",""
22,-1,30,5,0,"","","","","","","",""
23,-1,30,5,0,"","","","","","","",""
24,-1,30,5,0,"","","","","","","",""
25,-1,30,5,0,"","","","","","","",""
26,-1,30,5,0,"","","","","","","",""
27,-1,30,5,0,"","","","","","","",""
28,-1,30,5,0,"","","","","","","",""
29,-1,30,5,0,"","","","","","","",""
30,-1,30,5,0,"","","","","","","",""
31,-1,30,5,0,"","","","","","","",""
32,-1,30,5,0,"","","","","","","",""
33,-1,30,5,0,"","","","","","","",""
34,-1,30,5,0,"","","","","","","",""
35,-1,30,5,0,"","","","","","","",""
36,-1,30,5,0,"","","","","","","",""
37,-1,30,5,0,"","","","","","","",""
38,-1,30,5,0,"","","","","","","",""
39,-1,30,5,0,"","","","","","","",""
40,-1,30,5,0,"","","","","","","",""
41,-1,30,5,0,"","","","","","","",""
42,-1,30,5,0,"","","","","","","",""
43,-1,30,5,0,"","","","","","","",""
44,-1,30,5,0,"","","","","","","",""
45,-1,30,5,0,"","","","","","","",""
46,-1,30,5,0,"","","","","","","",""
47,-1,30,5,0,"","","","","","","",""
48,-1,30,5,0,"","","","","","","",""
49,-1,30,5,0,"","","","","","","",""
50,-1,30,5,0,"","","","","","","",""
